| p                                          | propLabel                                                               | eff   | notes |
| http://www.wikidata.org/prop/direct/P5019  | Brockhaus Enzyklopädie online ID                                        | 220   |       |
| http://www.wikidata.org/prop/direct/P8750  | Unione Romana Biblioteche Scientifiche ID                               | 218   |       |
| http://www.wikidata.org/prop/direct/P409   | Libraries Australia ID                                                  | 217   |       |
| http://www.wikidata.org/prop/direct/P8313  | Lex ID                                                                  | 217   |       |
| http://www.wikidata.org/prop/direct/P26    | spouse                                                                  | 215   |       |
| http://www.wikidata.org/prop/direct/P4342  | Great Norwegian Encyclopedia ID                                         | 208   |       |
| http://www.wikidata.org/prop/direct/P3373  | sibling                                                                 | 205   |       |
| http://www.wikidata.org/prop/direct/P7699  | National Library of Lithuania ID                                        | 197   |       |
| http://www.wikidata.org/prop/direct/P101   | field of work                                                           | 192   |       |
| http://www.wikidata.org/prop/direct/P1196  | manner of death                                                         | 192   |       |
| http://www.wikidata.org/prop/direct/P535   | Find a Grave memorial ID                                                | 189   |       |
| http://www.wikidata.org/prop/direct/P509   | cause of death                                                          | 187   |       |
| http://www.wikidata.org/prop/direct/P7982  | Hrvatska enciklopedija ID                                               | 185   |       |
| http://www.wikidata.org/prop/direct/P9791  | ASEE person ID                                                          | 185   |       |
| http://www.wikidata.org/prop/direct/P1225  | U.S. National Archives Identifier                                       | 185   |       |
| http://www.wikidata.org/prop/direct/P1417  | Encyclopædia Britannica Online ID                                       | 181   |       |
| http://www.wikidata.org/prop/direct/P3430  | SNAC ARK ID                                                             | 179   |       |
| http://www.wikidata.org/prop/direct/P12003 | ANPI person ID                                                          | 179   |       |
| http://www.wikidata.org/prop/direct/P8349  | Proleksis enciklopedija ID                                              | 176   |       |
| http://www.wikidata.org/prop/direct/P1015  | BIBSYS ID                                                               | 174   |       |
| http://www.wikidata.org/prop/direct/P8179  | Canadiana Name Authority ID                                             | 172   |       |
| http://www.wikidata.org/prop/direct/P11249 | KBR person ID                                                           | 170   |       |
| http://www.wikidata.org/prop/direct/P7666  | Visuotinė lietuvių enciklopedija ID                                     | 170   |       |
| http://www.wikidata.org/prop/direct/P1695  | NLP ID                                                                  | 169   |       |
| http://www.wikidata.org/prop/direct/P7796  | BeWeb person ID                                                         | 168   |       |
| http://www.wikidata.org/prop/direct/P2002  | X (Twitter) username                                                    | 165   |       |
| http://www.wikidata.org/prop/direct/P9964  | Kalliope-Verbund (GND) ID                                               | 164   |       |
| http://www.wikidata.org/prop/direct/P1971  | number of children                                                      | 159   |       |
| http://www.wikidata.org/prop/direct/P6917  | Historical Archives of the European Union ID                            | 157   |       |
| http://www.wikidata.org/prop/direct/P3222  | NE.se ID                                                                | 155   |       |
| http://www.wikidata.org/prop/direct/P9267  | ANPI person numeric ID                                                  | 153   |       |
| http://www.wikidata.org/prop/direct/P3602  | candidacy in election                                                   | 151   |       |
| http://www.wikidata.org/prop/direct/P8687  | social media followers                                                  | 149   |       |
| http://www.wikidata.org/prop/direct/P10242 | Lur Encyclopedic Dictionary ID                                          | 144   |       |
| http://www.wikidata.org/prop/direct/P512   | academic degree                                                         | 143   |       |
| http://www.wikidata.org/prop/direct/P9097  | American Academy in Rome ID                                             | 132   |       |
| http://www.wikidata.org/prop/direct/P22    | father                                                                  | 132   |       |
| http://www.wikidata.org/prop/direct/P949   | National Library of Israel ID (old)                                     | 132   |       |
| http://www.wikidata.org/prop/direct/P910   | topic's main category                                                   | 130   |       |
| http://www.wikidata.org/prop/direct/P2013  | Facebook username                                                       | 128   |       |
| http://www.wikidata.org/prop/direct/P10297 | Google Arts & Culture entity ID                                         | 127   |       |
| http://www.wikidata.org/prop/direct/P10480 | symogih.org ID                                                          | 123   |       |
| http://www.wikidata.org/prop/direct/P9984  | CANTIC ID                                                               | 121   |       |
| http://www.wikidata.org/prop/direct/P11120 | Rai Teche person ID                                                     | 121   |       |
| http://www.wikidata.org/prop/direct/P1344  | participant in                                                          | 120   |       |
| http://www.wikidata.org/prop/direct/P11686 | University of Barcelona authority ID                                    | 119   |       |
| http://www.wikidata.org/prop/direct/P1038  | relative                                                                | 115   |       |
| http://www.wikidata.org/prop/direct/P1580  | University of Barcelona authority ID (former scheme)                    | 112   |       |
| http://www.wikidata.org/prop/direct/P9212  | Dizionario biografico online degli anarchici italiani ID                | 112   |       |
| http://www.wikidata.org/prop/direct/P8793  | Quirinale ID                                                            | 111   |       |
| http://www.wikidata.org/prop/direct/P3219  | Encyclopædia Universalis ID                                             | 109   |       |
| http://www.wikidata.org/prop/direct/P6715  | SIUSA archive producer person ID                                        | 109   |       |
| http://www.wikidata.org/prop/direct/P13983 | Cabinet minutes of the German Government ID                             | 109   |       |
| http://www.wikidata.org/prop/direct/P8648  | Ministry of the Interior of Italy ID                                    | 102   |       |
| http://www.wikidata.org/prop/direct/P2963  | Goodreads author ID                                                     | 100   |       |
| http://www.wikidata.org/prop/direct/P8081  | WBIS ID                                                                 | 99    |       |
| http://www.wikidata.org/prop/direct/P551   | residence                                                               | 95    |       |
| http://www.wikidata.org/prop/direct/P345   | IMDb ID                                                                 | 93    |       |
| http://www.wikidata.org/prop/direct/P1005  | Portuguese National Library author ID                                   | 88    |       |
| http://www.wikidata.org/prop/direct/P2191  | Vegetti Catalog of Fantastic Literature NILF ID                         | 88    |       |
| http://www.wikidata.org/prop/direct/P1375  | NSK (VIAF) ID                                                           | 87    |       |
| http://www.wikidata.org/prop/direct/P2734  | Unz Review author ID                                                    | 86    |       |
