| object                                    | Postion Held                                                                                                                         | eff |
| http://www.wikidata.org/entity/Q28002426  | ministro dei beni e delle attività culturali e del turismo della Repubblica Italiana                                                 | 3   |
| http://www.wikidata.org/entity/Q105305056 | segretario generale della presidenza della Repubblica Italiana                                                                       | 3   |
| http://www.wikidata.org/entity/Q55311871  | ministro senza portafoglio per i compiti politici particolari della Repubblica Italiana                                              | 2   |
| http://www.wikidata.org/entity/Q50187247  | sindaco di Catania                                                                                                                   | 2   |
| http://www.wikidata.org/entity/Q55065187  | ministro per l'integrazione della Repubblica Italiana                                                                                | 2   |
| http://www.wikidata.org/entity/Q37991886  | ministro dell'assistenza post-bellica della Repubblica Italiana                                                                      | 2   |
| http://www.wikidata.org/entity/Q8882      | presidente della Commissione europea                                                                                                 | 2   |
| http://www.wikidata.org/entity/Q115959509 | presidente dell'Assemblea regionale siciliana                                                                                        | 2   |
| http://www.wikidata.org/entity/Q137396492 | Presidente dell'Accademia Nazionale dei Lincei                                                                                       | 2   |
| http://www.wikidata.org/entity/Q140686    | presidente                                                                                                                           | 2   |
| http://www.wikidata.org/entity/Q55311907  | ministro senza portafoglio per i beni culturali e l'ambiente della Repubblica Italiana                                               | 2   |
| http://www.wikidata.org/entity/Q55121922  | ministro senza portafoglio per la famiglia e la solidarieta' sociale della Repubblica Italiana                                       | 2   |
| http://www.wikidata.org/entity/Q55220512  | ministro senza portafoglio per l'ecologia della Repubblica Italiana                                                                  | 2   |
| http://www.wikidata.org/entity/Q80363683  | presidente della Provincia di Treviso                                                                                                | 2   |
| http://www.wikidata.org/entity/Q27132767  | ministro delle poste e telecomunicazioni del Regno d'Italia                                                                          | 2   |
| http://www.wikidata.org/entity/Q55178246  | ministro senza portafoglio per gli affari regionali ed i problemi istituzionali della Repubblica Italiana                            | 2   |
| http://www.wikidata.org/entity/Q47532269  | consigliere regionale della Toscana                                                                                                  | 2   |
| http://www.wikidata.org/entity/Q50248112  | sindaco di Venezia                                                                                                                   | 2   |
| http://www.wikidata.org/entity/Q47528896  | presidente della Campania                                                                                                            | 2   |
| http://www.wikidata.org/entity/Q47530307  | consigliere regionale della Lombardia                                                                                                | 2   |
| http://www.wikidata.org/entity/Q7241299   | presidente del Veneto                                                                                                                | 2   |
| http://www.wikidata.org/entity/Q105541338 | Ministro per le disabilità della Repubblica Italiana                                                                                 | 2   |
| http://www.wikidata.org/entity/Q26844985  | ministro della guerra del Regno d'Italia                                                                                             | 2   |
| http://www.wikidata.org/entity/Q26248695  | ministro degli affari esteri del Regno d'Italia                                                                                      | 2   |
| http://www.wikidata.org/entity/Q24203064  | presidente della Comunità europea del carbone e dell'acciaio                                                                         | 2   |
| http://www.wikidata.org/entity/Q26877839  | ministro della guerra della Repubblica Italiana                                                                                      | 2   |
| http://www.wikidata.org/entity/Q33159789  | vicepresidente del Consiglio dei ministri del Regno d'Italia                                                                         | 2   |
| http://www.wikidata.org/entity/Q6827278   | direttore scientifico                                                                                                                | 2   |
| http://www.wikidata.org/entity/Q33182940  | giudice della Corte di Giustizia Europea                                                                                             | 2   |
| http://www.wikidata.org/entity/Q6360077   | presidente della Camera dei deputati                                                                                                 | 2   |
| http://www.wikidata.org/entity/Q26243819  | ministro dell'interno del Regno d'Italia                                                                                             | 2   |
| http://www.wikidata.org/entity/Q7241294   | presidente della Toscana                                                                                                             | 2   |
| http://www.wikidata.org/entity/Q26911615  | ministro dell'aeronautica del Regno d'Italia                                                                                         | 2   |
| http://www.wikidata.org/entity/Q25927210  | sindaco di Firenze                                                                                                                   | 2   |
| http://www.wikidata.org/entity/Q55075202  | ministro senza portafoglio per il turismo della Repubblica Italiana                                                                  | 2   |
| http://www.wikidata.org/entity/Q24702372  | sindaco di Torino                                                                                                                    | 2   |
| http://www.wikidata.org/entity/Q6092842   | ministro delle infrastrutture della Repubblica Italiana                                                                              | 2   |
| http://www.wikidata.org/entity/Q26912078  | ministro dell'aeronautica della Repubblica Italiana                                                                                  | 2   |
| http://www.wikidata.org/entity/Q55110543  | ministro senza portafoglio per lo spettacolo e lo sport della Repubblica Italiana                                                    | 1   |
| http://www.wikidata.org/entity/Q75026026  | presidente della Provincia di Imperia                                                                                                | 1   |
| http://www.wikidata.org/entity/Q766504    | sottosegretario di Stato                                                                                                             | 1   |
| http://www.wikidata.org/entity/Q99976740  | sindaco di Alatri                                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q783943    | commissario europeo per la giustizia, i diritti fondamentali e la cittadinanza                                                       | 1   |
| http://www.wikidata.org/entity/Q99296357  | sindaco metropolitano di Catania                                                                                                     | 1   |
| http://www.wikidata.org/entity/Q7925068   | Vicepresidente del Parlamento europeo                                                                                                | 1   |
| http://www.wikidata.org/entity/Q796562    | commissario europeo per la fiscalità e l'unione doganale, gli audit e la lotta antifrode                                             | 1   |
| http://www.wikidata.org/entity/Q80373523  | presidente della Provincia di Cuneo                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q80374280  | presidente della Provincia di Novara                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q99293617  | sindaco metropolitano di Torino                                                                                                      | 1   |
| http://www.wikidata.org/entity/Q99293558  | sindaco metropolitano di Roma Capitale                                                                                               | 1   |
| http://www.wikidata.org/entity/Q80464521  | presidente della Provincia di Lodi                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q99260970  | sindaco di Monte Argentario                                                                                                          | 1   |
| http://www.wikidata.org/entity/Q99218346  | podestà di Torino                                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q99260957  | sindaco di Orbetello                                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q55408655  | ministro senza portafoglio dello sport e del turismo della Repubblica Italiana                                                       | 1   |
| http://www.wikidata.org/entity/Q7241276   | presidente della Lombardia                                                                                                           | 1   |
| http://www.wikidata.org/entity/Q7258042   | ministro dei lavori pubblici                                                                                                         | 1   |
| http://www.wikidata.org/entity/Q6572058   | governatori generali della Libia italiana                                                                                            | 1   |
| http://www.wikidata.org/entity/Q73171880  | Cavaliere del Sovrano Militare dell'Ordine di Malta                                                                                  | 1   |
| http://www.wikidata.org/entity/Q73499459  | sindaco di Pistoia                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q73501846  | sindaco di Terni                                                                                                                     | 1   |
| http://www.wikidata.org/entity/Q6501749   | segretario generale                                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q634291    | alto rappresentante dell'Unione per la politica estera e di sicurezza comune                                                         | 1   |
| http://www.wikidata.org/entity/Q73505698  | sindaco di Potenza                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q73511048  | sindaco di Lecce                                                                                                                     | 1   |
| http://www.wikidata.org/entity/Q73512221  | sindaco di Reggio Emilia                                                                                                             | 1   |
| http://www.wikidata.org/entity/Q55420963  | ministro della marina militare della Repubblica Italiana                                                                             | 1   |
| http://www.wikidata.org/entity/Q55411578  | ministro senza portafoglio dello spettacolo, dello sport e del turismo della Repubblica Italiana                                     | 1   |
| http://www.wikidata.org/entity/Q55410772  | ministro senza portafoglio per la riforma della pubblica amministrazione e l'attuazione della Costituzione della Repubblica Italiana | 1   |
| http://www.wikidata.org/entity/Q55410642  | ministro senza portafoglio per la Cassa del Mezzogiorno della Repubblica Italiana                                                    | 1   |
| http://www.wikidata.org/entity/Q73781133  | presidente della Provincia di Napoli                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q73512237  | sindaco di Rovigo                                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q55316964  | ministro senza portafoglio per i rapporti con l'ONU della Repubblica Italiana                                                        | 1   |
| http://www.wikidata.org/entity/Q73515347  | sindaco di Carrara                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q55311945  | ministro senza portafoglio per l'ambiente della Repubblica Italiana                                                                  | 1   |
| http://www.wikidata.org/entity/Q55290247  | ministro senza portafoglio per i beni culturali della Repubblica Italiana                                                            | 1   |
| http://www.wikidata.org/entity/Q73521397  | sindaco di Viterbo                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q73521816  | sindaco di Frosinone                                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q73523971  | sindaco di Benevento                                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q73615652  | sindaco di Novara                                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q55178969  | ministro senza portafoglio per gli affari speciali della Repubblica Italiana                                                         | 1   |
| http://www.wikidata.org/entity/Q55169764  | ministro senza portafoglio per gli italiani all' estero e l' immigrazione della Repubblica Italiana                                  | 1   |
| http://www.wikidata.org/entity/Q73634400  | sindaco di Lodi                                                                                                                      | 1   |
| http://www.wikidata.org/entity/Q73672068  | sindaco di Imperia                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q73674119  | sindaco di Cosenza                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q23015483  | sindaco di Brescia                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q17351648  | redattore giornalistico                                                                                                              | 1   |
| http://www.wikidata.org/entity/Q1736874   | commissario europeo per il mercato interno e i servizi                                                                               | 1   |
| http://www.wikidata.org/entity/Q1747028   | commissario europeo per l'energia                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q177529    | borgomastro                                                                                                                          | 1   |
| http://www.wikidata.org/entity/Q1780221   | commissario europeo per l'industria e l'imprenditoria                                                                                | 1   |
| http://www.wikidata.org/entity/Q1780232   | commissario europeo per la concorrenza                                                                                               | 1   |
| http://www.wikidata.org/entity/Q1850529   | presidenti della Corte costituzionale                                                                                                | 1   |
| http://www.wikidata.org/entity/Q18683546  | presidente della Sardegna                                                                                                            | 1   |
| http://www.wikidata.org/entity/Q20670163  | commissario della Commissione internazionale contro la pena di morte                                                                 | 1   |
| http://www.wikidata.org/entity/Q20981095  | segretario della Presidenza del Senato                                                                                               | 1   |
| http://www.wikidata.org/entity/Q16976470  | presidente del Lazio                                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q24198461  | presidente della Provincia di Firenze                                                                                                | 1   |
| http://www.wikidata.org/entity/Q25160174  | Presidente del Consiglio dei ministri del Regno d'Italia                                                                             | 1   |
| http://www.wikidata.org/entity/Q2534525   | Presidente del consiglio di amministrazione                                                                                          | 1   |
| http://www.wikidata.org/entity/Q26204040  | vice ministro                                                                                                                        | 1   |
| http://www.wikidata.org/entity/Q26305375  | ministro di grazia e giustizia del Regno d'Italia                                                                                    | 1   |
| http://www.wikidata.org/entity/Q26456736  | ministro delle finanze del Regno d'Italia                                                                                            | 1   |
| http://www.wikidata.org/entity/Q267936    | direttore esecutivo                                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q26877864  | ministro della marina del Regno d'Italia                                                                                             | 1   |
| http://www.wikidata.org/entity/Q26877879  | ministro della marina della Repubblica Italiana                                                                                      | 1   |
| http://www.wikidata.org/entity/Q27136261  | ministro dei trasporti del Regno d'Italia                                                                                            | 1   |
