| wikidata_uri                              | label                              | birth_year | gender  | label                    | geo_coordinates             | wikidata_uri                             |
| http://www.wikidata.org/entity/Q15711019  | Vincenzo Amendola                  | 1973       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q15711778  | Vito Scalia                        | 1925       | maschio | Catania                  | POINT(15.087269 37.502669)  | http://www.wikidata.org/entity/Q1903     |
| http://www.wikidata.org/entity/Q15768223  | Pier Carlo Padoan                  | 1950       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q15769397  | Maria Carmela Lanzetta             | 1955       | femmina | Mammola                  | POINT(16.233333 38.366667)  | http://www.wikidata.org/entity/Q54620    |
| http://www.wikidata.org/entity/Q15769592  | Giuliano Poletti                   | 1951       | maschio | Imola                    | POINT(11.714722 44.353056)  | http://www.wikidata.org/entity/Q50195    |
| http://www.wikidata.org/entity/Q15896991  | Gian Marco Centinaio               | 1971       | maschio | Pavia                    | POINT(9.155000 45.185281)   | http://www.wikidata.org/entity/Q6259     |
| http://www.wikidata.org/entity/Q15936378  | Federico D’Incà                    | 1976       | maschio | Belluno                  | POINT(12.215561 46.140831)  | http://www.wikidata.org/entity/Q6558     |
| http://www.wikidata.org/entity/Q15936524  | Fabiana Dadone                     | 1984       | femmina | Cuneo                    | POINT(7.550000 44.383333)   | http://www.wikidata.org/entity/Q5968     |
| http://www.wikidata.org/entity/Q15972657  | Danilo Toninelli                   | 1974       | maschio | Soresina                 | POINT(9.856965 45.286473)   | http://www.wikidata.org/entity/Q42929    |
| http://www.wikidata.org/entity/Q16039249  | Barbara Lezzi                      | 1972       | femmina | Lecce                    | POINT(18.169139 40.352011)  | http://www.wikidata.org/entity/Q13386    |
| http://www.wikidata.org/entity/Q16039372  | Erika Stefani                      | 1971       | femmina | Valdagno                 | POINT(11.300000 45.650000)  | http://www.wikidata.org/entity/Q47251    |
| http://www.wikidata.org/entity/Q16525358  | Alfonso Bonafede                   | 1976       | maschio | Mazara del Vallo         | POINT(12.587510 37.651661)  | http://www.wikidata.org/entity/Q481730   |
| http://www.wikidata.org/entity/Q16560401  | Giulia Grillo                      | 1975       | femmina | Catania                  | POINT(15.087269 37.502669)  | http://www.wikidata.org/entity/Q1903     |
| http://www.wikidata.org/entity/Q16561152  | Giusto Tolloy                      | 1908       | maschio | Trieste                  | POINT(13.770278 45.650278)  | http://www.wikidata.org/entity/Q546      |
| http://www.wikidata.org/entity/Q1657794   | Enzo Moavero Milanesi              | 1954       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q1695842   | Vincenzo Scotti                    | 1933       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q171834    | Aldo Moro                          | 1916       | maschio | Maglie                   | POINT(18.300000 40.116667)  | http://www.wikidata.org/entity/Q52153    |
| http://www.wikidata.org/entity/Q17303171  | Vincenzo Russo                     | 1924       | maschio | Foggia                   | POINT(15.551880 41.458450)  | http://www.wikidata.org/entity/Q13464    |
| http://www.wikidata.org/entity/Q17453074  | Giorgio Bergamasco                 | 1904       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q1747666   | Oronzo Reale                       | 1902       | maschio | Lecce                    | POINT(18.169139 40.352011)  | http://www.wikidata.org/entity/Q13386    |
| http://www.wikidata.org/entity/Q1748746   | Virginio Rognoni                   | 1924       | maschio | Corsico                  | POINT(9.116667 45.433333)   | http://www.wikidata.org/entity/Q42423    |
| http://www.wikidata.org/entity/Q17490296  | Mario Martinelli                   | 1906       | maschio | Como                     | POINT(9.086139 45.810250)   | http://www.wikidata.org/entity/Q1308     |
| http://www.wikidata.org/entity/Q180195    | Giovanni Spagnolli                 | 1907       | maschio | Rovereto                 | POINT(11.034167 45.883333)  | http://www.wikidata.org/entity/Q279373   |
| http://www.wikidata.org/entity/Q181794    | Daniela Santanchè                  | 1961       | femmina | Cuneo                    | POINT(7.550000 44.383333)   | http://www.wikidata.org/entity/Q5968     |
| http://www.wikidata.org/entity/Q18223480  | Eugenio Gatto                      | 1911       | maschio | Zenson di Piave          | POINT(12.500000 45.683333)  | http://www.wikidata.org/entity/Q46716    |
| http://www.wikidata.org/entity/Q18418151  | Giovanni Marongiu                  | 1929       | maschio | Cabras                   | POINT(8.530278 39.930556)   | http://www.wikidata.org/entity/Q385624   |
| http://www.wikidata.org/entity/Q1851923   | Girolamo Sirchia                   | 1933       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q18646086  | Carlo Pastorino                    | 1925       | maschio | Genova                   | POINT(8.933983 44.407186)   | http://www.wikidata.org/entity/Q1449     |
| http://www.wikidata.org/entity/Q18704080  | Giuseppe Trabucchi                 | 1904       | maschio | Verona                   | POINT(10.992778 45.438611)  | http://www.wikidata.org/entity/Q2028     |
| http://www.wikidata.org/entity/Q18784995  | Virginio Bertinelli                | 1901       | maschio | Como                     | POINT(9.086139 45.810250)   | http://www.wikidata.org/entity/Q1308     |
| http://www.wikidata.org/entity/Q1880844   | Mario Catania                      | 1952       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q192818    | Bettino Craxi                      | 1934       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q19357364  | Carlo Nordio                       | 1947       | maschio | Treviso                  | POINT(12.242219 45.672219)  | http://www.wikidata.org/entity/Q5475     |
| http://www.wikidata.org/entity/Q19614758  | Emilio De Rose                     | 1939       | maschio | Marano Marchesato        | POINT(16.162457 39.312620)  | http://www.wikidata.org/entity/Q53910    |
| http://www.wikidata.org/entity/Q19666125  | Lorenzo Fioramonti                 | 1977       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q19727861  | Raffaele Pio Petrilli              | 1892       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q20056535  | Dionigi Coppo                      | 1921       | maschio | Brescia                  | POINT(10.220281 45.538889)  | http://www.wikidata.org/entity/Q6221     |
| http://www.wikidata.org/entity/Q202209    | Giuliano Amato                     | 1938       | maschio | Torino                   | POINT(7.676111 45.079167)   | http://www.wikidata.org/entity/Q495      |
| http://www.wikidata.org/entity/Q2036599   | Giovanni Angelo Fontana            | 1944       | maschio | Verona                   | POINT(10.992778 45.438611)  | http://www.wikidata.org/entity/Q2028     |
| http://www.wikidata.org/entity/Q2050381   | Paolo Ferrero                      | 1960       | maschio | Pomaretto                | POINT(7.182779 44.955983)   | http://www.wikidata.org/entity/Q10197    |
| http://www.wikidata.org/entity/Q2053904   | Gianfranco Rotondi                 | 1960       | maschio | Avellino                 | POINT(14.789722 40.915278)  | http://www.wikidata.org/entity/Q13433    |
| http://www.wikidata.org/entity/Q2054692   | Fabrizio Barca                     | 1954       | maschio | Torino                   | POINT(7.676111 45.079167)   | http://www.wikidata.org/entity/Q495      |
| http://www.wikidata.org/entity/Q2054889   | Piero Giarda                       | 1936       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q2054899   | Corrado Clini                      | 1947       | maschio | Latina                   | POINT(12.903611 41.467222)  | http://www.wikidata.org/entity/Q13410    |
| http://www.wikidata.org/entity/Q20668286  | Rinaldo Ossola                     | 1913       | maschio | Lecco                    | POINT(9.390480 45.853340)   | http://www.wikidata.org/entity/Q6237     |
| http://www.wikidata.org/entity/Q208100    | Lamberto Dini                      | 1931       | maschio | Firenze                  | POINT(11.254167 43.771389)  | http://www.wikidata.org/entity/Q2044     |
| http://www.wikidata.org/entity/Q2171762   | Roberto Castelli                   | 1946       | maschio | Lecco                    | POINT(9.390480 45.853340)   | http://www.wikidata.org/entity/Q6237     |
| http://www.wikidata.org/entity/Q2246855   | Paolo Cirino Pomicino              | 1939       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q2246867   | Adriana Poli Bortone               | 1943       | femmina | Lecce                    | POINT(18.169139 40.352011)  | http://www.wikidata.org/entity/Q13386    |
| http://www.wikidata.org/entity/Q2270132   | Giuliano Urbani                    | 1937       | maschio | Perugia                  | POINT(12.388549 43.111918)  | http://www.wikidata.org/entity/Q3437     |
| http://www.wikidata.org/entity/Q2312135   | Piero Gnudi                        | 1938       | maschio | Bologna                  | POINT(11.342778 44.493889)  | http://www.wikidata.org/entity/Q1891     |
